,Distance,Energy,Full Light Spectrum,Humidity (%),IR Spectrum,Luminosity (lux),Pressure (HP-900),Temperature (deg F),Time,Rain
0,0,0,89,30.236051167769,36,122.2368,929.532670255851,95.0747300580144,12:36:11 - 2018/08/18,0
0,0,0,90,30.6674105076025,37,119.6256,929.461274052584,95.1924118289758,12:38:41 - 2018/08/18,0
0,0,0,187,25.9385385958621,88,174.1344,928.719839091068,96.9937689620722,13:38:41 - 2018/08/18,0
0,0,0,176,27.7802002235141,82,169.4016,928.06173502359,97.5990806180021,14:38:42 - 2018/08/18,0
0,0,0,175,27.7410053403714,79,185.3952,927.502897114235,98.6081324853879,15:38:42 - 2018/08/18,0
0,0,0,196,27.2116955345427,86,224.2368,926.820207163848,98.4275280627038,16:38:42 - 2018/08/18,0
0,0,0,358,25.4782903827062,160,390.048,926.587298597174,98.0599112808402,17:38:42 - 2018/08/18,0
0,0,0,166,24.1237456319263,80,141.984,926.296744632947,97.671322002646,18:38:42 - 2018/08/18,0
0,0,0,0,26.7068586808289,0,0,926.612722117565,94.8609223016643,19:38:42 - 2018/08/18,0
0,0,0,0,29.5025109361626,0,0,926.745213096249,92.4752658956158,20:38:42 - 2018/08/18,0
0,0,0,0,40.8223320545122,0,0,927.658369103731,89.9474979310525,21:38:42 - 2018/08/18,0
0,0,0,0,43.6630656968696,0,0,927.349480133239,88.2056383029648,22:34:48 - 2018/08/18,0
0,0,0,3,43.6968559186742,0,12.24,927.345077721878,88.2137941248143,22:35:54 - 2018/08/18,0
0,0,0,2,43.775283400209,0,8.16,927.30595334097,88.1409743010689,22:38:42 - 2018/08/18,0
0,0,0,0,47.6724249168468,0,0,927.538264418604,86.4859339687274,23:38:42 - 2018/08/18,0
0,0,0,0,49.3546339625052,0,0,927.555839086423,85.0872309584826,00:38:43 - 2018/08/19,0
0,0,0,0,50.8925670656453,0,0,927.402656229522,83.8464089249411,01:38:43 - 2018/08/19,0
0,0,0,0,53.0030927254247,0,0,927.342030374684,82.5287010430591,02:38:43 - 2018/08/19,0
0,0,0,0,55.1384411506003,0,0,927.482278718763,81.7813055143886,03:38:43 - 2018/08/19,0
0,0,0,0,56.4802850805845,0,0,927.54730174999,81.0624574979958,04:38:43 - 2018/08/19,0
0,0,0,0,57.5787420422211,0,0,928.046288885446,80.2632233293337,05:38:43 - 2018/08/19,0
0,0,0,43,57.7440338584214,19,48.3072,928.460433456982,80.2131256890388,06:38:43 - 2018/08/19,0
0,0,0,84,55.982054325613,39,81.7632,928.568935847257,81.6945076549382,07:38:43 - 2018/08/19,0
0,0,0,118,51.0659692999674,55,113.424,928.636115226755,83.8691281181721,08:38:43 - 2018/08/19,0
0,0,0,144,45.7431973113132,68,132.5184,928.391602925672,86.507488418117,09:38:43 - 2018/08/19,0
0,0,0,159,36.8472643135434,76,140.1888,928.060671563295,90.0925566316422,10:38:43 - 2018/08/19,0
0,0,0,164,32.6515985015651,79,140.5152,927.430617263537,93.7516897556106,11:38:43 - 2018/08/19,0
0,0,0,163,29.7744153951386,78,143.1264,926.643270234266,95.9439458999568,12:38:43 - 2018/08/19,0
0,0,0,161,27.513759978208,76,148.3488,926.058101865662,97.809396349546,13:38:44 - 2018/08/19,0
0,0,0,161,26.7493003219074,74,161.7312,925.245269383609,98.6850350734532,14:38:44 - 2018/08/19,0
0,0,0,156,26.2162892028453,70,168.096,924.361951655778,99.0258537906379,15:38:44 - 2018/08/19,0
0,0,0,163,25.1776926177823,70,196.656,923.651441122602,99.9848107248912,16:38:44 - 2018/08/19,0
0,0,0,523,25.2963943411976,247,481.1136,923.320642817279,99.4837754260574,17:38:44 - 2018/08/19,0
0,0,0,497,24.6099699618595,234,462.0192,923.384607855104,100.251641769117,18:38:44 - 2018/08/19,0
0,0,0,0,36.131814047648,0,0,924.154853468113,92.9174399134891,19:38:44 - 2018/08/19,0
0,0,0,6,42.4823943263379,3,4.4064,925.126028155338,90.5650177770066,20:38:44 - 2018/08/19,0
0,0,0,6,41.5424347327467,3,4.4064,925.439049969034,88.7008139280433,21:38:44 - 2018/08/19,0
